id,query_label,drug,query_type,date,username,display_name,content,language,reply_count,retweet_count,like_count,quote_count,view_count,source,url,is_retweet,is_reply,scraped_at
1806824428916912617,mounjaro_weight,mounjaro,weight,2024-06-28T22:58:07+00:00,MiguelEsAndrade,Miguel E. Andrade,Gonna have to start reminding myself to eat cus this #Mounjaro has like gotten rid of my appetite,en,0,0,0,0,57,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/MiguelEsAndrade/status/1806824428916912617,False,False,2026-04-08T23:01:15.240893+00:00
1806765785471127919,mounjaro_weight,mounjaro,weight,2024-06-28T19:05:05+00:00,automaticprncss,☆,got on compounded tirzepatide and my appetite kinda gone....,en,0,0,1,0,142,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/automaticprncss/status/1806765785471127919,False,False,2026-04-08T23:01:15.240893+00:00
1806593826338865299,mounjaro_weight,mounjaro,weight,2024-06-28T07:41:47+00:00,DacruzDilip,DDX1,"Have #cardiomyopathy and know my weight is the most powerful predictor of symptoms (SoB, HTN)
Lost just 4kg in 2 months (98 to 94kg) and have discarded/reduced  Furosemide,Metformin,Bisoprolol.
Exercise tolerance tripled.
Wake up, #Cardiology
 #mounjaro #tirzepatide #ozempic",en,0,0,2,0,106,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/DacruzDilip/status/1806593826338865299,False,False,2026-04-08T23:01:15.240893+00:00
1806420382867743096,mounjaro_weight,mounjaro,weight,2024-06-27T20:12:35+00:00,Marsupial_Gamer,Marsupial,"@EthanVanSciver Not joking, I would talk to a doctor about Mounjaro. It’s not magic, it just helps you eat less. It helped me lose over 60 lbs. and get myself out of heart attack / type-2 diabetes territory. Now I’m weaning off of it and doing the last 20-30 lbs. on my own. 😊",en,0,0,1,0,108,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/Marsupial_Gamer/status/1806420382867743096,False,True,2026-04-08T23:01:15.240893+00:00
1806368087530156354,mounjaro_weight,mounjaro,weight,2024-06-27T16:44:47+00:00,BOENGLISH1,Bo English,"The eagle has landed. New peptides are in. You know I took full advantage of that Father’s Day sale. 

1.) Epitalon
2.) BPC 157
3.) Tirzipedite
4.) NAD+ (not a peptide but a molecule)

Epitalon- this is a bio regulator peptide that is based on the natural peptide called epithalamion which is extracted from the pineal gland. Epitalon does a number of things: activates telomerase to elongate telomeres, resets circadian rhythm by modulating melatonin producing better sleep. Originally discovered in Russia by Vladimir Khavinson at the St Petersburg institute, alongside many of the other peptides and bioregulators.

BPC 157 - this gastric peptide heals injuries, the blood brain barrier, and the gut lining. I use it a couple of times a year or when I get injured from CrossFit. 

Tirzepatide - GLP-1 agonist, controls hunger, slows digestion. This is for my wife. She struggles with both Grave’s and Hashitmoto’s. We are working to get it under control with functional medicine, but a little Tirzepatide has helped he shed quite a bit a bit of post pregnancy pounds. 

NAD+ - present in every living cell in the body, declines as we age. I plan on using 50mg on work out days alongside 1-2g TMG for sufficient methyl groups.",en,10,2,26,0,4531,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/BOENGLISH1/status/1806368087530156354,False,False,2026-04-08T23:01:15.241890+00:00
1806117750730817669,mounjaro_weight,mounjaro,weight,2024-06-27T00:10:02+00:00,mmc51264,"Grateful Fellarina, RN ❤️⚡️💙🇺🇦🌻🌈☮️🇮🇱 🇨🇦","@bbsangel9162013 @xyzkid_ @simple2work @wiseconnector It kinda is. After being on Mounjaro, I lost close to 40lbs and my A1c went from 7.1 to 4.8. That’s considered in remission",en,1,0,1,0,46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/mmc51264/status/1806117750730817669,False,True,2026-04-08T23:01:15.241890+00:00
1806113433475260425,mounjaro_weight,mounjaro,weight,2024-06-26T23:52:53+00:00,connie1118,stephanie,"@Jaythebard keep up the good work....it takes time...it didn't show up overnight...heck, I dieted for 3 months and only lost 2 lbs....My hubby started Mounjaro and he's still eating...so there's no magic, just persistence!",en,0,0,0,0,33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://x.com/connie1118/status/1806113433475260425,False,True,2026-04-08T23:01:15.241890+00:00
1806062669763653742,mounjaro_weight,mounjaro,weight,2024-06-26T20:31:10+00:00,allnmacd1,Kerry,"@RN_Atheist Have been on Ozempic for 8 years.  Have to make an appt to change to Mounjaro to see if it will work better as body is ignoring Oz now.  A1C is okay but zero weight loss and man, I could lose 50 pounds.",en,0,0,7,0,369,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://x.com/allnmacd1/status/1806062669763653742,False,False,2026-04-08T23:01:15.241890+00:00
1806040417843970320,mounjaro_weight,mounjaro,weight,2024-06-26T19:02:44+00:00,stumpyduck77,Scott,"So, #Mounjaro… 5 weeks in and up to 5mg for the first time. Might need to set an alarm to remember to eat. No appetite at all.",en,0,0,0,0,95,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/stumpyduck77/status/1806040417843970320,False,False,2026-04-08T23:01:15.241890+00:00
1805884108469653656,mounjaro_weight,mounjaro,weight,2024-06-26T08:41:37+00:00,MHSJohnWright,John Wright,"@martykendall2 @AmeliaIsBchBum There is a fair bit of data on malnutrition, sarcopenia &amp; GLP1's.
Advocating is easy, but with a significantly diminished appetite or inability to digest, the reality can  become somewhat different.
Tirzepatide at least appears to improve FatOx and thereby reduce energy deficit.",en,0,0,0,0,32,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/MHSJohnWright/status/1805884108469653656,False,True,2026-04-08T23:01:15.241890+00:00
