id,query_label,drug,query_type,date,username,display_name,content,language,reply_count,retweet_count,like_count,quote_count,view_count,source,url,is_retweet,is_reply,scraped_at
1939456390352744630,mounjaro_experience,mounjaro,experience,2025-06-29T22:50:11+00:00,lovins_ryan,Ryan Lovins,@DrBretEHO I just started Reta after being on 1mg of Tirzepatide a week for 5 months. I started the Reta at .50mg and feel way more hungry than what Tirz did for me. I am also more fatigued on only .50mg. Is this normal? I wasn’t fatigued at all in Tirz.,en,3,0,0,0,237,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/lovins_ryan/status/1939456390352744630,False,True,2026-04-15T09:06:51.145038+00:00
1939442141714874748,mounjaro_experience,mounjaro,experience,2025-06-29T21:53:34+00:00,Vyrus_card_co,Vyrus_Card_Co,@mcuban how do I get Xigduo XR and mounjaro for my type 2 diabetes without paying an insurance company 700 per month. my others I can pay out of pocket $11 etc. the basic metformin does not work.,en,0,0,0,0,76,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://x.com/Vyrus_card_co/status/1939442141714874748,False,False,2026-04-15T09:06:51.145038+00:00
1939409748991840264,mounjaro_experience,mounjaro,experience,2025-06-29T19:44:51+00:00,amy_likes_owls,Amy 🇺🇸,@notadvice @HeidiBriones I just started tirzepatide a month ago and it’s the first time in my life without food noise.,en,0,0,1,0,21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://x.com/amy_likes_owls/status/1939409748991840264,False,True,2026-04-15T09:06:51.145038+00:00
1939348664528326878,mounjaro_experience,mounjaro,experience,2025-06-29T15:42:07+00:00,grizzliestime24,we back up,"@stephanip96 I'm right there with you, I didn't do surgery but started Mounjaro back at the end of January. https://t.co/jLUSwOQWDF",en,1,0,1,0,78,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/grizzliestime24/status/1939348664528326878,False,True,2026-04-15T09:06:51.145038+00:00
1939312786200559680,mounjaro_experience,mounjaro,experience,2025-06-29T13:19:33+00:00,bioinvestor24,Bioinvestor24,"@cremieuxrecueil $LLy started marking tirzepatide in China which is much better drug from tolerability and efficacy.  
China is not poor anymore and I believe large section of Chinese obese will use tirzepatide as well.  For whole GLP1 class prices are reasonable now.",en,1,0,3,0,771,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/bioinvestor24/status/1939312786200559680,False,True,2026-04-15T09:06:51.146034+00:00
1939283170811138212,mounjaro_experience,mounjaro,experience,2025-06-29T11:21:52+00:00,DrDamluji,"Abdulla A. Damluji, MD, PhD","🥸2️⃣ The analysis included only tirzepatide-treated participants with weight data at baseline and week 72 (n = 1,605); placebo participants were excluded due to small sample sizes at higher weight loss categories.",en,1,0,1,0,110,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://x.com/DrDamluji/status/1939283170811138212,False,True,2026-04-15T09:06:51.146034+00:00
1939249441417875541,mounjaro_experience,mounjaro,experience,2025-06-29T09:07:51+00:00,KernowGold,Annette,"@GavinCurnow He’s on Mounjaro injections, so I seriously doubt he even licked the ice cream off his fingers.
Bridlington doesn’t have seagulls? Newquay or Meva gulls would have had the cone before the ice cream started to melt 😁",en,1,0,1,0,59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/KernowGold/status/1939249441417875541,False,True,2026-04-15T09:06:51.146034+00:00
1939245759985274893,mounjaro_experience,mounjaro,experience,2025-06-29T08:53:13+00:00,lucylocket1700,LucyLocket💙,"Text from GP surgery this week. I'm shocked by this.
Like Ozempic, Mounjaro is first and foremost a drug for diabetes. What are the long term effects of taking a diabetic drug when you're not a diabetic? 🤬 https://t.co/0nhHo8Hn87",en,6,2,14,0,2368,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/lucylocket1700/status/1939245759985274893,False,False,2026-04-15T09:06:51.147031+00:00
1939229134590202272,mounjaro_experience,mounjaro,experience,2025-06-29T07:47:09+00:00,CMEINDIA1,CME INDIA,"Clinical pearls based on the Phase 1 trial of Tirzepatide on Ingestive Behavior (Nature Medicine, 2025):

🧠 Tirzepatide & Brain–Gut Connection in Obesity

🔹 Study Type: 6-week randomized, placebo-controlled, phase 1 trial
🔹 Population: Adults with overweight or obesity
🔹 Mechanism Targeted: GLP-1/GIP dual agonism

🍽️ Key Behavioral Effects

✅ ↓ Caloric Intake:
 ▪ Mean reduction of ~525 kcal/day vs placebo
 ▪ 95% CI: −648.1 to −401.0 kcal/day
 ▪ P < 0.0001 — Highly significant

✅ ↓ Appetite & Overeating Drive:
 ▪ Reduced overall appetite, food cravings, tendency to overeat, perceived hunger
 ▪ Reduced external food cue reactivity

❌ No Change in volitional dietary restriction (i.e., conscious efforts to control intake)

🧠 Neurobehavioral Insights (Week 3 fMRI Findings)

🎯 Brain Response to High-Sugar Food Cues ↓ in:  ▪ Orbitofrontal cortex (OFC) – reward processing
 ▪ Medial frontal & cingulate gyri – attention & decision-making
 ▪ Hippocampus – memory/conditioning

❌ No significant change in global BOLD response to palatable food photos overall

🔍 Clinical Implication

💡 Tirzepatide modulates ingestive behavior via central mechanisms affecting appetite circuits, not just peripheral satiety.

🔗 Reference

Nature Medicine (2025)
DOI: 10.1038/s41591-025-03774-9
https://t.co/UgE29DGAF5: Link

https://t.co/SODDGdccYq",en,0,0,1,0,357,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/CMEINDIA1/status/1939229134590202272,False,False,2026-04-15T09:06:51.147031+00:00
1939166892347769328,mounjaro_experience,mounjaro,experience,2025-06-29T03:39:49+00:00,snakeyesV1,Venkata “Cyber Baahubali” 👾,"I lost about 15% of my weight by using Mounjaro. It’s for people with a BMI greater than 27. While it’s not a simple solution to weight loss, there will be significant changes your body undergoes, such as sleeplessness, nausea, bloating, and you’ll need to maintain a proper diet. https://t.co/BTBI8GBvUX",en,7,0,20,1,4413,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://x.com/snakeyesV1/status/1939166892347769328,False,False,2026-04-15T09:06:51.147031+00:00
1939140775465431054,mounjaro_experience,mounjaro,experience,2025-06-29T01:56:03+00:00,DailyMail,Daily Mail,Three out of five anorexia patients at top eating disorders clinic tell docs they've been using weight-loss jabs like Ozempic or Mounjaro - including children as young as SIXTEEN https://t.co/zsGqk6CtWs,en,2,8,12,2,13964,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",https://x.com/DailyMail/status/1939140775465431054,False,False,2026-04-15T09:06:51.147537+00:00
1939118440075403402,mounjaro_experience,mounjaro,experience,2025-06-29T00:27:17+00:00,apple_cals,Anya ✨,Went on a work night out and felt absolutely massive and then my coworkers started talking to me about how they're all on mounjaro and could get it for me as well 💀 I have never felt so horrifically obese in my entire life,en,0,0,0,0,63,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://x.com/apple_cals/status/1939118440075403402,False,False,2026-04-15T09:06:51.147537+00:00
